date,lat,lon,frp,confidence,night,satellite
2026-04-21,64.64391,24.42506,32,102,False,1
2026-04-26,64.64776,24.42744,11,102,False,N
2026-05-02,60.29895,24.66385,45,102,False,1
2026-05-02,60.30042,24.66533,21,102,False,N
2015-03-12,60.29147,25.49091,17,102,False,N
2015-04-14,60.31466,25.53073,18,102,False,N
2015-05-10,60.28635,22.29449,13,102,False,N
2015-07-06,64.64393,24.42757,23,102,False,N
2015-07-31,64.6492,24.43559,20,102,False,N
2015-08-02,60.28744,22.29235,17,102,False,N
2015-08-20,64.64364,24.42567,31,102,False,N
2015-08-20,67.93398,25.23908,54,102,False,N
2015-08-30,60.28426,22.28946,14,102,False,N
2015-09-25,65.76549,24.1878,20,102,False,N
2016-05-01,60.51602,21.47109,59,102,False,N
2016-05-03,60.81296,26.71853,48,102,False,N
2016-05-06,60.69976,26.66019,350,102,False,N
2016-05-25,60.28531,22.29116,21,102,False,N
2016-05-28,60.2866,22.28785,17,102,False,N
2016-06-04,64.64454,24.4269,46,101,False,N
2016-07-20,60.27168,24.45897,5,102,False,N
2016-08-27,60.28403,22.29098,7,102,False,N
2016-09-03,64.64396,24.43296,18,102,False,N
2016-09-09,60.29736,25.48882,24,102,False,N
2016-09-11,65.76923,24.18077,11,102,False,N
2017-01-01,64.64588,24.42666,23,102,False,N
2017-05-04,63.00208,21.6996,52,102,False,N
2017-05-07,60.28548,22.28697,13,102,False,N
2017-05-12,64.64648,24.43364,24,102,False,N
2017-05-19,61.3751,23.93587,57,102,False,N
2017-06-03,64.64442,24.42628,12,102,False,N
2017-06-14,65.03481,25.65976,44,102,False,N
2017-07-26,60.28748,22.29364,9,102,False,N
2017-07-26,59.8652,23.19789,78,102,False,N
2017-07-29,64.64841,24.42965,17,102,False,N
2017-07-31,60.28629,22.28723,28,102,False,N
2017-08-09,65.76628,24.18302,27,102,False,N
2017-10-07,64.64629,24.42591,38,102,False,N
2017-10-24,60.31161,25.52921,11,102,False,N
2018-04-03,60.28484,22.28941,14,102,True,N
2018-04-28,62.41976,26.881,4,102,True,N
2018-05-05,60.77931,26.49044,77,101,False,N
2018-05-09,60.64449,23.42044,21,102,False,N
2018-05-10,60.28717,22.29105,15,102,True,N
2018-05-10,60.58541,23.46733,38,102,False,N
2018-05-10,60.58743,23.67234,126,102,False,N
2018-06-12,60.69581,24.01821,379,102,False,N
2018-06-16,60.28593,22.29014,19,102,True,N
2018-07-19,68.4375,28.51575,113,102,False,N
2018-07-21,68.48462,28.47851,97,102,False,N
2018-07-28,65.76427,24.17752,30,102,True,N
2018-08-02,60.28679,22.29329,12,102,True,N
2018-08-11,60.28742,22.29181,18,102,True,N
2018-08-16,61.0297,28.17559,8,102,True,N
2018-08-16,60.28621,22.2897,21,102,True,N
2018-09-01,64.64653,24.42925,14,102,True,N
2018-09-16,62.35524,22.06497,38,102,True,N
2018-09-22,62.59351,25.74821,6,102,True,N
2018-09-29,64.64713,24.4274,28,102,True,N
2018-10-23,63.35914,22.58532,53,102,False,N
2018-10-26,60.28691,22.28947,13,102,True,N
2018-10-14,61.31726,22.11079,4,102,True,N
2019-01-26,64.89374,29.16583,36,102,True,N
2019-04-20,60.88451,27.69367,47,102,False,N
2019-04-23,60.28556,22.28762,18,102,True,N
2019-04-24,60.2854,22.28828,15,102,True,N
2019-06-01,61.03108,28.17316,4,102,True,N
2019-06-18,62.59409,25.74496,8,102,True,N
2019-06-18,61.99879,28.79497,153,102,False,N
2019-06-19,60.28628,22.2873,12,102,True,N
2019-09-02,64.64225,24.43073,15,102,True,N
2019-10-25,60.28609,22.2934,6,102,True,N
2019-12-19,61.2217,22.28067,40,102,False,N
2020-02-26,64.64384,24.4268,20,102,True,1
2020-03-25,65.76593,24.17967,48,102,True,1
2020-03-20,64.6433,24.43133,43,102,False,1
2020-04-30,60.28802,22.29459,11,102,True,1
2020-04-26,63.25629,27.54291,21,102,True,1
2020-04-22,60.2867,22.2936,12,102,True,1
2020-05-25,62.65099,25.54899,625,103,False,N
2020-05-25,63.52491,24.06538,66,102,False,1
2020-06-11,60.29615,24.95516,82,102,True,N
2020-06-14,64.64683,24.42887,7,102,True,1
2020-06-23,61.1312,28.4526,10,102,True,1
2020-06-23,65.17136,28.46989,145,102,False,N
2020-06-26,65.15435,27.34122,55,102,False,N
2020-06-27,60.28528,22.29093,23,102,True,N
2020-07-03,60.28518,22.29105,8,102,True,1
2020-07-14,62.59233,25.74694,8,102,True,N
2020-07-20,64.64567,24.42536,14,102,True,1
2020-08-04,60.28375,22.28805,29,102,True,N
2020-08-07,60.2877,22.28526,13,102,True,1
2020-08-11,64.64583,24.42808,85,102,False,1
2020-08-15,65.76624,24.18492,13,102,True,1
2020-08-18,63.00677,23.09604,76,103,False,N
2020-08-20,64.64406,24.43042,13,102,True,1
2020-09-08,64.64664,24.42919,13,102,True,1
2020-09-21,60.28645,22.28625,10,102,True,1
2020-09-24,62.59477,25.75013,5,102,True,N
2020-10-03,64.64758,24.42929,14,102,True,N
2020-10-17,63.55745,22.50563,10,102,True,N
2020-10-17,63.01664,29.2367,7,102,True,N
2020-10-18,64.65944,24.42696,12,102,True,N
2020-10-29,60.29502,25.4728,8,102,True,N
2020-11-06,60.28668,22.28782,12,102,True,N
2020-11-10,60.29782,25.52215,34,102,True,N
2020-11-15,63.47715,26.84584,1,102,True,1
2021-02-28,64.64657,24.4319,13,102,True,N
2021-03-24,64.64442,24.4268,24,102,True,1
2021-03-30,65.76665,24.18739,19,102,True,1
2021-04-01,64.64598,24.43458,9,102,True,N
2021-04-11,62.59362,25.75063,8,102,True,1
2021-04-11,60.31487,25.52479,45,102,False,N
2021-04-11,64.64684,24.42797,30,102,True,N
2021-04-14,60.31231,25.5281,12,102,True,N
2021-04-17,64.22105,23.71907,18,102,False,1
2021-04-17,64.21941,23.72265,81,102,False,N
2021-05-08,64.6421,24.43004,36,102,False,1
2021-05-09,64.6456,24.43052,35,102,True,N
2021-05-14,62.59779,23.02867,8,102,True,N
2021-05-23,60.28638,22.2956,23,102,True,N
2021-05-28,64.64616,24.43274,20,102,True,N
2021-05-29,64.6464,24.42664,25,102,True,N
2021-06-03,62.82316,21.81031,23,102,True,1
2021-06-03,63.25511,30.30283,106,102,False,1
2021-06-02,64.6459,24.4267,34,102,False,1
2021-06-23,60.31319,25.52833,52,102,False,N
2021-07-03,60.28662,22.2944,8,102,True,N
2021-07-10,65.76389,24.18019,49,101,False,1
2021-07-27,60.74224,24.72771,8,102,True,1
2021-08-07,65.76651,24.18653,39,102,True,N
2021-08-22,60.28924,22.28826,10,102,True,N
2021-08-24,64.64671,24.42559,15,102,True,N
2021-08-24,60.52493,22.32602,7,102,True,N
2021-09-01,60.28588,22.29222,19,102,True,N
2021-09-03,64.65961,24.43005,15,102,True,1
2021-09-06,65.77246,24.18266,11,102,True,1
2021-09-09,64.64539,24.42901,10,102,True,N
2021-09-22,64.64651,24.43195,29,102,True,N
2021-09-27,60.28776,22.28771,15,102,True,1
2021-10-22,64.64821,24.4285,23,102,True,1
2021-10-28,64.64557,24.42577,14,102,True,1
2022-02-10,60.28501,22.28739,7,102,True,1
2022-02-06,60.28796,22.2919,13,102,True,1
2022-02-12,64.64374,24.42699,15,102,True,N
2022-03-01,64.64389,24.42715,132,102,True,N
2022-04-03,60.28852,22.28896,8,102,True,1
2022-05-13,64.64571,24.43035,49,102,True,1
2022-05-08,60.28793,22.29,17,102,True,1
2022-05-23,60.28697,22.29132,15,102,True,1
2022-05-23,60.28613,22.28517,20,102,True,N
2022-06-09,64.64638,24.43123,11,102,True,1
2022-06-28,60.88763,27.5892,60,102,False,N
2022-07-04,63.15221,30.29077,127,102,False,1
2022-07-04,63.15049,30.28823,198,102,False,1
2022-07-06,61.06641,28.23805,5,102,True,N
2022-07-06,62.39636,23.40344,20,102,True,N
2022-07-08,61.06671,28.23796,4,102,True,1
2022-07-20,61.12878,28.44797,5,102,True,N
2022-07-25,60.29469,25.4845,22,102,True,N
2022-07-29,61.03118,28.17243,6,102,True,N
2022-08-06,61.12975,28.45458,7,102,False,1
2022-08-09,65.76452,24.1766,28,102,False,1
2022-08-11,60.3188,25.52386,14,102,False,1
2022-08-15,60.90665,26.66393,6,102,False,1
2022-08-10,60.28682,22.29277,16,102,False,N
2022-08-11,60.3188,25.52386,14,102,False,N
2022-08-12,60.28455,22.29069,24,102,False,N
2022-09-01,64.64565,24.42979,13,102,False,1
2022-09-10,60.28787,22.28757,9,102,False,N
2022-09-22,60.28865,22.28815,5,102,False,N
2022-09-27,64.64344,24.42697,41,102,False,N
2022-10-20,64.64983,24.43436,20,102,False,1
2022-11-02,64.64573,24.42791,24,102,False,1
2022-12-19,60.28656,22.28786,9,102,False,N
2023-01-29,64.64612,24.42812,8,102,False,N
2023-03-02,65.7662,24.18284,20,102,False,1
2023-04-21,65.76518,24.1882,56,102,False,N
2023-05-07,64.64619,24.42524,17,102,False,1
2023-05-08,64.6588,24.42977,33,102,False,N
2023-05-10,60.28572,22.29179,16,102,False,1
2023-05-21,61.03106,28.17544,7,102,False,N
2023-05-26,64.64402,24.4289,26,102,False,N
2023-06-14,62.79819,30.35813,39,102,False,N
2023-06-15,67.73276,28.65106,1938,101,False,N
2023-06-19,65.98252,27.70795,443,103,False,N
2023-07-08,61.3205,22.12486,42,102,False,N
2023-07-12,66.48603,26.35477,1221,102,False,1
2023-08-01,65.77116,24.18734,7,102,False,N
2023-08-01,61.06482,28.23864,10,102,False,1
2023-08-07,60.28798,22.28531,8,102,False,N
2023-08-11,63.70102,22.7096,6,102,False,1
2023-08-22,64.64333,24.42463,15,102,False,N
2023-09-26,66.2162,23.70574,15,102,False,1
2023-10-12,60.29667,25.52342,107,103,False,N
2023-10-18,65.76656,24.17823,16,102,False,1
2023-12-30,65.76654,24.1863,74,102,False,N
2024-05-01,61.14804,28.79796,11,102,False,1
2024-05-30,63.30175,30.48579,46,102,False,N
2024-05-16,64.66158,24.43452,48,102,False,1
2024-05-20,64.64449,24.43116,45,102,False,1
2024-05-29,60.31036,25.52453,10,102,False,1
2024-05-31,60.37873,25.55987,32,102,False,N
2024-06-06,67.64448,27.2605,105,102,False,1
2024-06-06,67.64262,27.27427,784,102,False,1
2024-07-17,64.64534,24.43255,15,102,False,2
2024-07-27,64.64404,24.42982,65,102,False,N
2024-08-04,60.9061,26.66184,6,102,False,2
2024-08-05,60.28969,22.28802,10,102,False,1
2024-08-07,67.32024,24.63159,296,102,False,2
2024-08-08,65.96856,26.74958,989,101,False,1
2024-08-08,65.96749,26.76512,400,103,False,N
2024-08-15,65.48598,28.45323,98,102,False,N
2024-08-14,60.28655,22.29014,4,102,False,1
2024-09-12,65.77016,24.17952,17,102,False,1
2024-09-17,60.2982,25.521,44,102,False,2
2024-09-18,60.29828,25.52842,30,102,False,1
2024-09-19,63.70132,22.7125,7,102,False,1
2024-09-29,64.67718,25.13224,5,102,False,1
2024-12-04,64.64439,24.42479,25,102,False,1
2024-12-27,65.76604,24.17706,26,102,False,2
2025-01-27,64.64283,24.4256,13,102,False,2
2025-03-09,65.76665,24.18429,27,102,False,N
2025-03-19,64.64382,24.43138,18,102,False,N
2025-04-02,65.76594,24.18167,36,102,False,N
2025-05-28,65.7663,24.18624,37,102,False,N
2025-06-15,64.64596,24.42886,60,102,False,2
2025-06-16,66.64762,28.38998,691,102,False,2
2025-07-03,61.06561,28.23965,6,102,False,2
2025-07-13,64.64548,24.43084,38,102,False,1
2025-07-17,64.76985,27.74183,271,102,False,N
2025-07-17,64.77087,27.74446,1253,101,False,2
2025-07-21,68.00768,24.98555,154,101,False,1
2025-07-19,64.64477,24.42629,49,102,False,N
2025-07-22,65.77093,24.18555,27,102,False,1
2025-08-07,61.06638,28.23813,8,102,False,1
2025-08-14,61.34054,26.02436,210,102,False,N
2025-09-06,64.65914,24.42113,15,102,False,N
2025-09-11,62.59379,25.74901,5,102,False,2
2025-09-12,64.64565,24.42426,19,102,False,2
2025-09-14,64.64479,24.42775,47,102,False,1
2025-09-18,64.64396,24.43128,19,102,False,2
2025-09-30,64.64396,24.4263,43,102,False,N
2025-10-02,64.64468,24.42958,29,102,False,2
2025-11-05,64.65448,24.43009,38,102,False,2
2025-11-22,60.31428,25.5295,133,102,False,2
2025-12-30,64.64514,24.43139,29,102,False,2
2026-03-14,64.6453,24.43208,20,102,False,1
2026-03-24,64.64208,24.42695,11,102,False,N
2026-04-08,65.77095,24.18752,18,102,False,N
2026-04-16,64.64684,24.42733,24,102,False,2
2026-04-26,64.6452,24.42422,222,102,False,2
2026-04-27,64.64636,24.42626,49,102,False,2
2026-05-03,64.38381,28.99648,43,102,False,N
2026-05-07,61.99353,21.80877,57,102,False,2
2015-03-12,61.1464,28.79691,9,102,False,N
2015-05-05,64.11111,25.50951,46,102,False,N
2015-05-10,64.64416,24.42304,26,102,False,N
2015-05-17,60.28519,22.29141,17,102,False,N
2015-06-18,64.64114,24.43604,2,101,False,N
2015-06-23,60.2874,22.29007,20,102,False,N
2015-07-21,60.28511,22.28955,20,102,False,N
2015-07-28,60.28678,22.2872,14,102,False,N
2015-08-16,60.28628,22.28961,26,102,False,N
2015-08-17,60.69833,23.88933,61,102,False,N
2015-08-21,63.44703,30.0073,484,102,False,N
2015-08-25,64.64658,24.43194,14,102,False,N
2015-09-13,60.46038,22.03641,12,102,False,N
2015-09-24,60.28539,22.28888,19,102,False,N
2015-09-25,60.28435,22.28902,22,102,False,N
2015-09-29,60.28491,22.2894,23,102,False,N
2015-10-12,64.64651,24.42469,18,102,False,N
2015-12-28,64.64684,24.43435,16,102,False,N
2016-04-11,64.65466,24.43011,41,102,False,N
2016-04-13,64.65562,24.43046,4,102,False,N
2016-04-16,62.76913,30.14441,20,102,False,N
2016-04-23,60.73895,26.99747,47,102,False,N
2016-05-06,64.6455,24.43054,19,102,False,N
2016-05-24,62.4021,27.2077,237,102,False,N
2016-05-29,64.64123,24.43456,2,101,False,N
2016-06-04,64.60848,27.43549,41,102,False,N
2016-07-09,60.28762,22.29176,13,102,False,N
2016-07-19,60.96284,24.62292,71,102,False,N
2016-08-02,64.6439,24.43154,27,102,False,N
