date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire
2023-04-15,101785,64.66589,24.40695,2.5,36.62,4.27,,1
2023-04-18,100947,60.37788,22.0964,6.62,55.79,6.91,,1
2023-05-27,101785,64.66589,24.40695,7.45,66.75,6.92,,1
2023-06-13,101785,64.66589,24.40695,12.4,72.0,5.41,,1
2023-06-30,101103,61.25294,22.34613,21.23,64.38,1.72,0.0,1
2023-08-19,101785,64.66589,24.40695,15.15,75.96,3.05,,1
2023-08-22,100683,60.303725,25.549164,16.64,87.88,3.31,,1
2023-08-27,101785,64.66589,24.40695,15.72,70.71,3.79,,1
2023-08-30,100947,60.37788,22.0964,15.74,95.67,4.34,,1
2023-09-01,101418,61.892296,27.885278,16.65,87.67,2.23,,1
2023-09-07,101118,61.419402,23.622561,13.15,80.62,3.21,,1
2023-09-08,100947,60.37788,22.0964,17.87,82.29,2.46,,1
2023-09-09,101675,63.838822,23.097148,17.36,74.75,3.35,0.0,1
2023-09-12,101246,61.038791,28.563954,16.72,82.21,3.16,,1
2024-05-02,101785,64.66589,24.40695,6.4,69.67,2.9,,1
2024-05-15,101533,63.08898,24.26084,18.29,46.46,,0.0,1
2024-05-18,101267,61.630419,21.376203,12.03,72.08,5.95,,1
2024-05-25,101851,65.868932,24.179364,11.78,43.25,2.25,0.0,1
2024-05-27,101851,65.868932,24.179364,13.65,63.12,3.39,0.0,1
2024-06-01,101572,63.143426,27.313171,21.71,65.67,1.49,9.5,1
2024-06-06,102000,67.821472,27.745972,19.01,50.33,5.91,0.0,1
2024-06-15,101785,64.66589,24.40695,13.95,72.67,3.57,,1
2024-07-02,101191,60.898392,26.948819,17.88,66.21,4.64,0.0,1
2024-07-09,101252,61.1982,28.47308,16.12,76.04,4.84,,1
2024-07-17,101785,64.66589,24.40695,19.3,78.12,2.93,,1
2024-07-23,101785,64.66589,24.40695,23.75,47.08,4.46,,1
2024-07-22,101660,63.75144,22.52282,20.51,79.62,3.67,,1
2024-07-27,101237,61.040298,28.129162,22.14,66.42,2.26,0.0,1
2024-08-07,101009,60.25299,25.04549,17.7,74.79,1.37,,1
2024-08-08,101873,65.977172,26.367571,15.35,71.54,1.84,0.0,1
