date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire,days_since_rain,temp_rolling_7d,precip_7d_sum,consecutive_dry_days
2016-07-05,100947,60.37788,22.0964,17.04,66.61,6.99,,1,0.0,17.81714285714286,,0.0
2018-10-28,100947,60.37788,22.0964,1.12,75.42,7.63,,1,0.0,6.1499999999999995,,0.0
2024-07-11,137208,62.393322,25.688617,18.3,74.67,4.19,7.3,1,1.0,15.331428571428571,16.6,1.0
2024-06-23,101851,65.868932,24.179364,15.94,62.83,2.31,0.1,1,1.0,15.141428571428573,9.0,1.0
2017-05-07,101154,61.054083,25.038444,3.05,54.96,,,1,0.0,6.048571428571429,,0.0
2024-06-21,101237,61.040298,28.129162,15.3,54.46,4.23,0.0,1,0.0,15.787142857142856,43.3,0.0
2025-08-25,101632,62.601794,29.727131,11.72,86.17,,0.4,1,0.0,11.957142857142857,18.8,0.0
2025-04-01,855522,61.68751,27.20671,5.81,76.0,2.57,0.0,1,1.0,4.508571428571428,0.2,1.0
2025-09-05,101660,63.75144,22.52282,15.8,91.88,5.96,,1,0.0,14.265714285714285,,0.0
2021-11-10,101851,65.868932,24.179364,2.86,90.29,3.75,0.1,1,0.0,-0.622857142857143,14.700000000000001,0.0
2025-04-03,101362,61.704484,25.505293,8.08,62.0,6.13,,1,0.0,4.378571428571428,,0.0
2017-06-16,101785,64.66589,24.40695,13.13,84.21,3.79,,1,0.0,13.129999999999999,,0.0
2025-07-17,101831,64.663925,28.056704,17.33,43.42,2.42,0.0,1,7.0,18.71,0.0,7.0
2017-05-04,101194,60.6965,26.811056,6.71,53.92,,0.0,1,3.0,5.1000000000000005,10.4,3.0
2015-07-15,101785,64.66589,24.40695,11.95,76.29,1.71,,1,0.0,13.152857142857142,,0.0
2021-09-21,100947,60.37788,22.0964,6.98,74.75,3.0,,1,0.0,9.428571428571429,,0.0
2017-12-24,100947,60.37788,22.0964,1.98,76.33,8.46,,1,0.0,2.3714285714285714,,0.0
2021-07-26,101608,62.65695,29.636079,20.81,61.38,2.8,,1,0.0,15.388571428571428,,0.0
2023-05-15,101252,61.1982,28.47308,13.68,68.88,3.85,,1,0.0,11.234285714285715,,0.0
2025-07-24,101237,61.040298,28.129162,23.92,62.12,1.43,0.0,1,7.0,21.497142857142855,0.0,7.0
2017-10-25,100949,60.454391,22.178695,1.87,85.71,6.22,11.4,1,6.0,2.14,1.9,6.0
2025-02-14,101851,65.868932,24.179364,-7.91,82.21,1.59,0.0,1,5.0,-3.565714285714286,0.7,5.0
2025-05-02,100947,60.37788,22.0964,7.05,83.58,8.88,,1,0.0,5.005714285714285,,0.0
2020-10-17,101651,62.769415,30.974667,3.2,94.54,4.38,0.7,1,0.0,5.554285714285714,27.1,0.0
2022-05-07,101194,60.6965,26.811056,8.75,81.17,,3.2,1,5.0,5.811428571428571,2.2,5.0
2022-06-29,101252,61.1982,28.47308,17.91,68.25,5.04,,1,0.0,20.43,,0.0
2024-09-16,101785,64.66589,24.40695,12.33,70.54,4.52,,1,0.0,15.837142857142856,,0.0
2019-12-02,101851,65.868932,24.179364,-2.53,69.62,2.98,0.0,1,2.0,-6.101428571428571,8.899999999999999,2.0
2018-08-11,100947,60.37788,22.0964,19.2,62.33,7.34,,1,0.0,20.722857142857144,,0.0
2017-09-27,101785,64.66589,24.40695,7.77,100.0,2.78,,1,0.0,9.175714285714287,,0.0
2022-07-21,852678,60.291281,24.567815,20.92,68.29,1.96,0.0,1,1.0,14.58,27.0,1.0
